country_name,eci_rank1998,eci1998,gini1998,eci_rank1999,eci1999,gini1999,eci_rank2000,eci2000,gini2000,eci_rank2001,eci2001,gini2001,eci_rank2002,eci2002,gini2002,eci_rank2003,eci2003,gini2003,eci_rank2004,eci2004,gini2004,eci_rank2005,eci2005,gini2005,eci_rank2006,eci2006,gini2006,eci_rank2007,eci2007,gini2007,eci_rank2008,eci2008,gini2008,eci_rank2009,eci2009,gini2009,eci_rank2010,eci2010,gini2010,eci_rank2011,eci2011,gini2011,eci_rank2012,eci2012,gini2012,eci_rank2013,eci2013,gini2013,eci_rank2014,eci2014,gini2014,eci_rank2015,eci2015,gini2015,eci_rank2016,eci2016,gini2016,eci_rank2017,eci2017,gini2017,eci_rank2018,eci2018,gini2018,eci_rank2019,eci2019,gini2019,eci_rank2020,eci2020,gini2020,incpp1998,incpp1999,incpp2000,incpp2001,incpp2002,incpp2003,incpp2004,incpp2005,incpp2006,incpp2007,incpp2008,incpp2009,incpp2010,incpp2011,incpp2012,incpp2013,incpp2014,incpp2015,incpp2016,incpp2017,incpp2018,incpp2019,incpp2020
Belarus,24,0.69228393,32,26,0.64141315,31.700001,30,0.59457296,31.200001,31,0.55502945,30.6,30,0.6358586,30.299999,26,0.73921245,28.799999,25,0.78678983,26.5,25,0.81951499,27.6,25,0.81384921,28.299999,23,0.89869368,29.6,26,0.85105324,27.799999,27,0.85486227,27.700001,28,0.83006018,28.6,28,0.89589399,27.200001,30,0.81930041,26.5,30,0.85805076,26.6,32,0.81693614,27.200001,31,0.82003224,25.6,32,0.72249299,25.299999,33,0.71069902,25.4,31,0.80483598,25.200001,31,0.80839908,25.299999,31,0.84103441,24.4,5066.942837,5337.01584,5801.75813,6244.747744,6704.592279,7369.845906,8491.894839,9647.121181,11006.45591,12332.50292,13898.99968,14050.57156,15361.83171,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891,20317.23192
Belgium,,,0,11,1.257605,0,12,1.1911645,33.099998,13,1.303511,0,16,1.2697431,0,16,1.2345345,28.1,16,1.1873305,30.5,17,1.1185488,29.299999,19,1.0914387,28.1,19,1.0820087,29.200001,19,1.077387,28.4,19,1.1005625,28.6,19,1.1475177,28.4,18,1.1704106,28.1,18,1.2044829,27.5,18,1.2380841,27.700001,18,1.2025428,28.1,17,1.2482467,27.700001,19,1.1959074,27.6,19,1.2180812,27.4,18,1.2141166,27.200001,19,1.2053317,27.200001,22,1.1320174,26,24369.48672,25440.84119,27789.94355,28793.61105,30282.28865,30934.4414,32063.26079,33177.89095,35256.92838,36795.84715,37883.33194,37749.90919,39838.04051,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,55804.81892,54569.92539
Benin,,,0,,,0,,,0,,,0,,,0,,,38.599998,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,43.400002,,,0,,,0,99,-0.66177678,0,108,-0.85695821,47.799999,,,0,,,0,,,37.900002,,,0,,,0,1584.965406,1642.173165,1724.54671,1802.324598,1858.766765,1902.502923,1979.292899,2011.396677,2090.284255,2210.79271,2294.869878,2294.602793,2302.687791,2350.356452,2427.432659,2590.925045,2745.858612,2792.609645,2901.264671,2933.837384,3113.254929,3290.307202,3364.973218
Bolivia,,,0,,,58.099998,,,61.599998,70,-0.57139331,57.400002,82,-0.8440901,59.299999,82,-0.87737703,0,85,-0.86655205,55,96,-1.1392188,58.5,93,-0.92728353,56.700001,98,-0.86470681,54.5,92,-0.66992903,50.799999,97,-0.77519184,49.200001,97,-0.84535879,0,108,-0.98631179,46.099998,91,-0.59180707,46.599998,97,-0.6409542,47.599998,96,-0.63133579,47.799999,112,-0.98757464,46.700001,111,-1.0297425,45.200001,111,-1.0803169,44.599998,113,-1.1076337,42.599998,106,-0.99344563,41.599998,111,-1.0754194,43.599998,3267.226137,3267.432226,3364.024366,3436.37487,3514.591376,3617.40341,3802.810904,4025.109046,4273.038123,4509.210554,4794.6037,4902.610577,5079.382721,5363.987903,5814.070135,6500.876807,6920.778861,6992.127581,7345.826841,8244.933446,8669.827849,8890.462954,8110.114756
Bosnia and Herzegovina,,,0,,,0,,,0,,,30,,,0,,,0,,,34,39,0.34465075,0,45,0.25821224,0,46,0.37417254,33.099998,44,0.40301615,0,44,0.4184351,0,45,0.34129521,0,43,0.40037394,33,45,0.32244366,0,45,0.3663862,0,45,0.37747356,0,48,0.33464757,0,42,0.43768781,0,46,0.35478908,0,43,0.45213315,0,42,0.48681897,0,40,0.52566171,0,3270.700345,3601.9815,4127.638087,4290.625762,4653.131647,4911.659964,5405.608803,5959.024831,6878.345574,7696.151728,8595.825651,8698.947153,9089.136145,9758.0219,10109.40069,10788.26808,11148.38783,11826.06601,12869.7684,13582.18475,14801.263,16118.6668,15860.10452
Botswana,,,0,,,0,,,0,67,-0.51434284,0,66,-0.47582692,64.699997,63,-0.40763292,0,76,-0.6843136,0,89,-0.92648304,0,95,-1.0107836,0,99,-0.89805859,0,100,-0.86327052,0,90,-0.57215172,60.5,77,-0.3974933,0,84,-0.49517086,0,87,-0.53181231,0,84,-0.43270293,0,90,-0.43962252,0,93,-0.51706105,53.299999,95,-0.68716395,0,88,-0.58582854,0,97,-0.72435164,0,89,-0.57584357,0,89,-0.64197391,0,8023.186325,8733.650018,8922.18535,8964.661185,9478.370607,9936.89142,10298.09379,10907.14135,11957.32781,12739.03914,13136.16904,11119.57606,12139.49853,12976.26068,12069.46877,12833.27836,14338.57408,13420.5066,15277.04232,14656.77299,15321.7802,15759.16223,14303.93611
Brazil,25,0.68862993,59.599998,27,0.64048421,59,26,0.6759907,0,29,0.63246197,58.400002,31,0.56428027,58.099998,31,0.58397716,57.599998,30,0.60253978,56.5,33,0.53415763,56.299999,34,0.55089599,55.599998,34,0.63551849,54.900002,39,0.53183955,54,40,0.47086921,53.700001,36,0.48850721,0,45,0.39546561,52.900002,38,0.47168544,53.400002,42,0.45464626,52.700001,43,0.4633899,52,42,0.46047723,51.900002,46,0.34006867,53.299999,45,0.36501119,53.299999,45,0.37840179,53.900002,45,0.3379266,53.5,46,0.22724572,48.900002,8503.697887,8541.710725,8994.743062,9202.876484,9510.823883,9693.555482,10407.83935,10954.86026,11614.49854,12522.51594,13281.07439,13222.74888,14254.51977,14989.15778,14994.34347,15535.72377,15664.80174,14692.63231,14208.16111,14477.86177,14971.05467,15307.94124,14900.10422
Bulgaria,37,0.23619619,0,39,0.19271049,0,40,0.17984387,0,43,0.19094367,0,41,0.21276751,0,41,0.18786475,0,42,0.21921521,0,43,0.23354615,0,44,0.25974259,35.700001,44,0.40640283,36.099998,43,0.42304644,33.599998,45,0.37836948,33.799999,42,0.44276142,35.700001,41,0.43401685,34.299999,39,0.45835641,36,38,0.58451909,36.599998,39,0.59537983,37.400002,37,0.60412639,38.599998,37,0.55812931,40.599998,41,0.52158761,40.400002,39,0.54907107,41.299999,41,0.54437041,40.299999,42,0.51433355,40.5,6177.940847,5807.791822,6422.832771,6960.083304,7786.448422,8417.38546,9201.565675,10291.42387,11406.48595,12820.80999,14346.89554,14181.94966,14956.35731,15747.0796,16327.85847,16647.00987,17616.95407,18391.89681,20074.26479,21469.97089,23016.0668,25170.216,25296.07094
Burkina Faso,,,49.900002,,,0,,,0,,,0,,,0,,,43.299999,,,0,,,0,,,0,,,0,,,0,,,39.799999,,,0,121,-1.4425008,0,118,-1.370169,0,124,-1.5106256,0,118,-1.1828293,35.299999,119,-1.3155874,0,117,-1.348884,0,122,-1.5131495,0,124,-1.5750829,43,128,-1.6204649,0,122,-1.4527271,0,840.9844308,889.501251,899.5848205,951.314407,977.6685185,1041.898563,1083.249313,1176.357297,1248.873042,1295.467117,1356.372196,1364.895645,1454.578747,1536.808944,1568.066859,1629.317836,1637.928051,1657.916107,1833.433053,1978.155012,2100.530924,2199.552506,2211.01144
Cambodia,,,0,,,0,,,0,94,-1.3607037,0,97,-1.4508342,0,96,-1.5381249,0,102,-1.4855235,0,106,-1.5126925,0,104,-1.4006417,0,104,-1.1105069,0,104,-0.99081105,0,104,-0.98194486,0,107,-1.026194,0,104,-0.92911774,0,104,-0.92051339,0,112,-1.0357219,0,97,-0.64132881,0,85,-0.42428541,0,86,-0.49642614,0,79,-0.40684614,0,83,-0.47828269,0,87,-0.56016117,0,90,-0.68962348,0,870.339453,975.5210426,1077.41477,1170.276239,1244.16096,1352.309266,1505.284011,1727.637369,1938.931468,2156.770173,2306.693651,2288.718256,2418.836055,2605.489544,2867.537377,3051.001466,3198.673549,3411.577267,3708.369109,3972.724164,4319.01589,4653.630366,4515.709506
